Macro  Block Size,Type,Micro Block Size,CC,Min,1stQ,Median,Mean,3thQ,Max
0.5,512KB-CC1,512KB,CC1,29934,30161,30219,30220,30274,30566
1,512KB-CC2,512KB,CC2,59369,60018,60137,60132,60251,60883
2,512KB-CC4,512KB,CC4,116787,117997,118297,118334,118626,122493
3,512KB-CC6,512KB,CC6,154347,162137,162547,162432,162894,167198
4,512KB-CC8,512KB,CC8,182885,186903,187434,187479,187960,197306
1,1MB-CC1,1MB,CC1,57478,58205,58315,58315,58443,58860
2,1MB-CC2,1MB,CC2,111476,112520,112810,112836,113135,115535
4,1MB-CC4,1MB,CC4,176641,195295,195949,195738,196504,201617
6,1MB-CC6,1MB,CC6,147858,150452,150727,150830,151010,158977
8,1MB-CC8,1MB,CC8,242178,255903,256407,256560,256909,268786
2,2MB-CC1,2MB,CC1,88451,92260,92466,92496,92697,95307
4,2MB-CC2,2MB,CC2,162842,165193,165593,165810,166003,174127
8,2MB-CC4,2MB,CC4,238887,249884,250287,250569,250801,266125
12,2MB-CC6,2MB,CC6,263609,279423,279713,279985,280023,299028
16,2MB-CC8,2MB,CC8,280953,298604,298604,299134,299122,323747
4,4MB-CC1,4MB,CC1,126572,132113,132355,132270,132608,135148
8,4MB-CC2,4MB,CC2,207358,214487,214826,215069,215150,230154
16,4MB-CC4,4MB,CC4,212856,220113,220269,220735,220439,228891
24,4MB-CC6,4MB,CC6,215511,220743,220758,220799,220771,230403
32,4MB-CC8,4MB,CC8,319887,353324,353464,353341,353630,393228
8,8MB-CC1,8MB,CC1,155718,161859,161881,161842,161902,170014
16,8MB-CC2,8MB,CC2,245730,256866,257047,257503,257242,274600
32,8MB-CC4,8MB,CC4,299824,338965,339120,338931,339248,376807
48,8MB-CC6,8MB,CC6,334200,341068,341162,341651,341264,368305
64,8MB-CC8,8MB,CC8,364057,387336,387457,387943,387582,402650
10,10MB-CC1,10MB,CC1,165762,173656,173745,173827,173887,195862
20,10MB-CC2,10MB,CC2,230020,254122,254139,254240,254155,267397
40,10MB-CC4,10MB,CC4,310373,340081,340098,340412,340122,355540
80,10MB-CC8,10MB,CC8,261364,270222,270918,271489,272009,294938